STATUS: running ncmusig tests
1,188253
2,190304
3,306621
4,184830
5,213878
6,215981
7,233983
8,227404
9,468023
10,329893
11,543660
12,313194
13,494079
14,326691
15,345994
16,355710
17,350914
18,657629
19,726799
20,405296
21,529976
22,472892
23,550380
24,476079
25,486561
26,536543
27,536899
28,547696
29,628821
30,901059
31,570876
32,1239430
33,631302
34,1585214
35,1383589
36,681106
37,663549
38,1490076
39,1753789
40,758072
41,827110
42,786341
43,791875
44,1914902
45,870701
46,880443
47,873298
48,1005400
49,1437855
50,1883527
51,929602
52,999130
53,2064980
54,1876282
55,1057606
56,1406479
57,1041067
58,1259750
59,2649343
60,1149831
61,2255423
62,2677711
63,2007295
64,2481526
65,2789354
66,1227940
67,1901708
68,2778507
69,1986767
70,1344318
71,1318601
72,1370141
73,1365628
74,1371125
75,1707187
76,3749334
77,2100118
78,4095316
79,3516177
80,3598550
81,3068783
82,1871666
83,1592588
84,2225410
85,1775477
86,2733183
87,4888329
88,1668856
89,1669517
90,1681641
91,1768607
92,1819519
93,3232457
94,1823459
95,1850663
96,1921993
97,4328729
98,1962927
99,2012341
100,3470762
1,163390
2,156524
3,229661
4,187552
5,204227
6,368482
7,232416
8,241047
9,251094
10,273314
11,529203
12,296477
13,419007
14,350485
15,336693
16,344819
17,384464
18,752433
19,825769
20,476081
21,410841
22,440399
23,546800
24,481823
25,860535
26,515912
27,534149
28,722285
29,1324072
30,957285
31,598887
32,616167
33,617210
34,1426589
35,716587
36,719770
37,757029
38,729811
39,1191427
40,826484
41,855462
42,1059631
43,1084736
44,980933
45,972104
46,933565
47,1166585
48,909080
49,915732
50,944409
51,922795
52,2223459
53,946270
54,1942890
55,1015757
56,1149613
57,1223105
58,1063360
59,1117321
60,1091041
61,3032968
62,1558831
63,1686664
64,3292166
65,1210364
66,2299826
67,2562884
68,1355478
69,3454405
70,1713101
71,2749105
72,1334274
73,2612552
74,1361489
75,1403963
76,3181771
77,1644458
78,1439768
79,3560013
80,1565742
81,3829692
82,1595415
83,1671376
84,3823728
85,4329302
86,4479166
87,1716039
88,1748908
89,1709380
90,2536007
91,1998735
92,1973698
93,1838315
94,4207767
95,3254041
96,1938881
97,1966206
98,2169530
99,2186340
100,2391910
1,142739
2,148334
3,274247
4,271024
5,216347
6,238078
7,431328
8,243947
9,282818
10,273422
11,275657
12,310044
13,300888
14,643058
15,367663
16,365596
17,414343
18,408415
19,826957
20,569822
21,445344
22,488972
23,477815
24,974729
25,517079
26,538617
27,592189
28,561810
29,1195869
30,657897
31,1437283
32,890557
33,736475
34,748951
35,764436
36,1978942
37,822409
38,809032
39,1338714
40,1563025
41,1969608
42,1409480
43,948446
44,828673
45,846152
46,844429
47,1041265
48,938530
49,1598911
50,945471
51,961696
52,1030788
53,989914
54,978761
55,1038021
56,1116099
57,1056023
58,1958947
59,1062125
60,1092006
61,2781966
62,1151886
63,1129568
64,1162568
65,1193910
66,2758910
67,1274227
68,1252292
69,1291080
70,1528949
71,3586997
72,1308641
73,3864088
74,3496074
75,3231735
76,1459494
77,1501436
78,1513163
79,1474248
80,2584943
81,3126144
82,1946234
83,1569693
84,1912181
85,1914714
86,1631515
87,2338035
88,1941322
89,1716604
90,1683317
91,1973495
92,1793527
93,1855625
94,4852684
95,1861253
96,1854637
97,4426898
98,2105760
99,2931592
100,2018758
1,176602
2,168603
3,176651
4,196325
5,184308
6,201125
7,228436
8,232752
9,262159
10,460640
11,548346
12,584694
13,320749
14,360559
15,464268
16,365207
17,356986
18,387507
19,398902
20,413278
21,443790
22,489905
23,472424
24,1011412
25,679166
26,839730
27,582720
28,599703
29,636064
30,1308665
31,592663
32,687396
33,629326
34,1367313
35,678199
36,699723
37,1448635
38,692432
39,734825
40,1062349
41,1786803
42,887085
43,889007
44,857207
45,890458
46,1004726
47,904823
48,914425
49,2196118
50,1087797
51,928074
52,2504507
53,990672
54,1009991
55,1262666
56,1041222
57,2148980
58,2781068
59,1061305
60,1542037
61,3243620
62,1387787
63,1747217
64,1231780
65,1368435
66,3193253
67,1298069
68,2737597
69,1317467
70,1340570
71,1751570
72,1327893
73,2225392
74,3176862
75,3573710
76,3895754
77,2278638
78,3448857
79,2604935
80,1685821
81,1535949
82,1539939
83,1667322
84,2352691
85,1717347
86,1639351
87,3815004
88,2192653
89,1747335
90,1747244
91,1754789
92,2457301
93,2158805
94,2146426
95,3626256
96,2236156
97,4907642
98,2208771
99,4249641
100,4211403
1,157969
2,226854
3,171010
4,184091
5,190529
6,216936
7,412293
8,241721
9,269355
10,311301
11,462669
12,296999
13,290162
14,390195
15,342805
16,765687
17,396107
18,716473
19,429995
20,448713
21,454176
22,708422
23,808057
24,671112
25,855967
26,522116
27,526396
28,546379
29,1219234
30,1242053
31,590338
32,1456645
33,722902
34,1296684
35,726820
36,1634508
37,959029
38,843534
39,1564673
40,809829
41,1950817
42,1829403
43,1237568
44,813832
45,1340219
46,855448
47,2123488
48,2054580
49,2380059
50,1997969
51,971632
52,2585440
53,1006018
54,1044763
55,1889758
56,1401640
57,1033778
58,1348181
59,1620911
60,1473008
61,3138441
62,1181165
63,2900738
64,1358876
65,1954354
66,1195800
67,1383428
68,1423502
69,1978728
70,3747747
71,3150949
72,1397985
73,1348256
74,1378625
75,1423512
76,1486992
77,1636481
78,1655141
79,2397385
80,3605285
81,3479792
82,1566505
83,3928751
84,3973570
85,3371514
86,1610290
87,2724403
88,2067659
89,1873557
90,3915835
91,1744182
92,1787217
93,1902062
94,1844473
95,2109955
96,2140379
97,2214247
98,1968718
99,1948538
100,2227045
1,175173
2,210988
3,253159
4,193752
5,332384
6,195592
7,218941
8,447534
9,257896
10,516642
11,275950
12,315368
13,516232
14,334317
15,347592
16,352851
17,363701
18,384318
19,780419
20,815770
21,650674
22,647309
23,467967
24,525750
25,533324
26,1238116
27,595837
28,847344
29,766605
30,653007
31,584837
32,597418
33,1256888
34,760199
35,665569
36,686423
37,701157
38,708380
39,725818
40,712289
41,810438
42,847933
43,1029225
44,812993
45,940476
46,907710
47,2190613
48,1101122
49,959663
50,2078896
51,1004191
52,1688565
53,971271
54,1314803
55,1011647
56,1214836
57,1042849
58,1108208
59,1061195
60,2843472
61,1381501
62,1182431
63,3172293
64,1315828
65,1466125
66,1333662
67,1233151
68,1520241
69,1302688
70,3549729
71,3634258
72,2303751
73,1647030
74,3335593
75,3924658
76,3024058
77,1516869
78,1456021
79,2439204
80,3440645
81,3114104
82,3594684
83,4596209
84,1898632
85,1608844
86,1646618
87,3971028
88,3983290
89,4682768
90,1901402
91,1955789
92,4259289
93,1767471
94,1985702
95,2070750
96,4408248
97,2153945
98,5093247
99,5003170
100,2247985
1,146750
2,239495
3,242414
4,188731
5,205848
6,220507
7,236105
8,251381
9,350137
10,470923
11,427118
12,583524
13,319800
14,338298
15,344821
16,366010
17,524065
18,405441
19,599272
20,404071
21,426200
22,870974
23,948175
24,666687
25,512959
26,521025
27,537679
28,552638
29,627110
30,1555171
31,663080
32,673755
33,816663
34,642979
35,673270
36,697031
37,960809
38,1019704
39,810728
40,731224
41,760722
42,864777
43,829727
44,1783998
45,826460
46,849497
47,2013887
48,1800101
49,2117114
50,944588
51,1161506
52,926847
53,1154084
54,1557638
55,1874033
56,2602890
57,1251295
58,1527834
59,2754728
60,2726020
61,2642230
62,2723467
63,1149723
64,3113924
65,1191440
66,1442467
67,1289250
68,1281756
69,1314028
70,3117519
71,1315161
72,3158576
73,1379218
74,1378452
75,1512801
76,1556343
77,2807782
78,2323384
79,1686809
80,1707136
81,1727041
82,1549496
83,1913480
84,1889706
85,4971198
86,3900998
87,1963886
88,3145890
89,3305356
90,1826887
91,5090701
92,4017113
93,4165579
94,3249568
95,4220947
96,4369836
97,3019659
98,3001887
99,5647781
100,3929753
1,181290
2,157777
