run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,binedges,binvalues
General-0-20241026-08:16:00-5452,runattr,,,configname,General,,,,,,,,,
General-0-20241026-08:16:00-5452,runattr,,,datetime,20241026-08:16:00,,,,,,,,,
General-0-20241026-08:16:00-5452,runattr,,,experiment,General,,,,,,,,,
General-0-20241026-08:16:00-5452,runattr,,,inifile,omnetpp.ini,,,,,,,,,
General-0-20241026-08:16:00-5452,runattr,,,iterationvars,"$size=25, $k=12, $m=6, $dav=40, $cav=60",,,,,,,,,
General-0-20241026-08:16:00-5452,runattr,,,iterationvarsf,"size=25,k=12,m=6,dav=40,cav=60-",,,,,,,,,
General-0-20241026-08:16:00-5452,runattr,,,measurement,"$size=25, $k=12, $m=6, $dav=40, $cav=60",,,,,,,,,
General-0-20241026-08:16:00-5452,runattr,,,network,AvswuScenario,,,,,,,,,
General-0-20241026-08:16:00-5452,runattr,,,processid,5452,,,,,,,,,
General-0-20241026-08:16:00-5452,runattr,,,repetition,0,,,,,,,,,
General-0-20241026-08:16:00-5452,runattr,,,replication,#0,,,,,,,,,
General-0-20241026-08:16:00-5452,runattr,,,resultdir,results,,,,,,,,,
General-0-20241026-08:16:00-5452,runattr,,,runnumber,0,,,,,,,,,
General-0-20241026-08:16:00-5452,runattr,,,seedset,0,,,,,,,,,
General-0-20241026-08:16:00-5452,itervar,,,cav,60,,,,,,,,,
General-0-20241026-08:16:00-5452,itervar,,,dav,40,,,,,,,,,
General-0-20241026-08:16:00-5452,itervar,,,k,12,,,,,,,,,
General-0-20241026-08:16:00-5452,itervar,,,m,6,,,,,,,,,
General-0-20241026-08:16:00-5452,itervar,,,size,25,,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,**.softwareUpdateSizeMB,25,,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,**.erasureCodeK,12,,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,**.erasureCodeM,6,,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,**.numberDAV,40,,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,**.numberCAV,60,,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.man[*].appl.softwareUpdateSizeMB,softwareUpdateSizeMB,,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.rsu[*].appl.softwareUpdateSizeMB,softwareUpdateSizeMB,,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.delivery[*].appl.softwareUpdateSizeMB,softwareUpdateSizeMB,,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.node[*].appl.softwareUpdateSizeMB,softwareUpdateSizeMB,,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.man[*].appl.erasureCodeK,erasureCodeK,,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.man[*].appl.erasureCodeM,erasureCodeM,,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.playgroundSizeX,4000m,,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.playgroundSizeY,4000m,,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.playgroundSizeZ,50m,,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.annotations.draw,true,,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.obstacles.obstacles,"xmldoc(""config.xml"", ""//AnalogueModel[@type='SimpleObstacleShadowing']/obstacles"")",,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.manager.updateInterval,1s,,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.manager.host,"""localhost""",,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.manager.port,9999,,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.manager.autoShutdown,true,,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.manager.launchConfig,"xmldoc(""erlangen.launchd.xml"")",,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.manager.trafficLightModuleType,"""org.car2x.veins.nodes.TrafficLight""",,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.manager.moduleType,"""deliveryType=org.car2x.veins.nodes.Car *=org.car2x.veins.nodes.Car""",,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.manager.moduleName,"""deliveryType=delivery *=node""",,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.tls[*].mobility.x,0,,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.tls[*].mobility.y,0,,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.tls[*].mobility.z,3,,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.tls[*].applType,"""org.car2x.veins.modules.application.traci.TraCIDemoTrafficLightApp""",,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.tls[*].logicType,"""org.car2x.veins.modules.world.traci.trafficLight.logics.TraCITrafficLightSimpleLogic""",,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.man[0].mobility.x,3000,,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.man[0].mobility.y,1200,,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.man[0].mobility.z,3,,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.man[*].applType,"""avswu.veins_avswu.AvswuManufacturer11p""",,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.man[*].appl.headerLength,80 bit,,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.man[*].appl.sendBeacons,false,,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.man[*].appl.dataOnSch,false,,,,,,,,,
General-0-20241026-08:16:00-5452,param,,,*.man[*].appl.beaconInterval,1s,,,,,,,,,
